Date,Close,RF_Forecast,GBR_Forecast
2019-11-15,265.76001,262.13934091334903,263.6620154842368
2019-11-18,267.100006,262.1119909858491,263.4408883937806
2019-11-19,266.290009,261.7192151284919,262.2729619632144
2019-11-20,263.190002,261.2889614876586,260.630597652198
2019-11-21,262.01001,260.94143236576974,262.12412891278046
2019-11-22,261.779999,259.6831685813808,262.89330229713215
2019-11-25,266.369995,259.10051257626174,261.22774158374955
2019-11-26,264.290009,258.64584743472216,259.66097200620925
2019-11-27,267.839996,258.69163174966656,261.3656039668646
2019-11-29,267.25,258.64584743472216,260.52942459895974
2019-12-02,264.160004,258.62534180849997,257.2620535705339
2019-12-03,259.450012,258.45929859383324,256.86793088561853
2019-12-04,261.73999,257.45937902215076,259.6707521626359
2019-12-05,265.579987,257.4630757541507,259.9727105420902
2019-12-06,270.709991,257.1388206464841,259.57108297865597
2019-12-09,266.920013,257.17138735731737,257.18530248313243
2019-12-10,268.480011,257.2072684404285,259.56641440241293
2019-12-11,270.769989,257.2808907066507,260.1494997624527
2019-12-12,271.459991,257.2807102134285,259.3619678322467
2019-12-13,275.149994,257.3502290828174,260.36812914444334
2019-12-16,279.859985,257.25740726748404,260.2297402452693
2019-12-17,280.410004,257.3317736855673,259.97434077555477
2019-12-18,279.73999,257.4327782660118,259.4653948556434
2019-12-19,280.019989,257.52951506242846,260.53842322910793
2019-12-20,279.440002,257.5332402194284,259.71039573971603
2019-12-23,284.0,258.0935681309602,261.4769263356493
2019-12-24,284.269989,258.36286284007133,261.13619125460895
2019-12-26,289.910004,259.0422703360158,263.19368361589056
2019-12-27,289.799988,261.21737867573006,263.2426441849419
2019-12-30,291.519989,261.31888950538485,263.27681524844877
